"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSPE18",5.85038511345527e-14,0.202299779749273,0.594,0.479,1.21272633016814e-09,"NK_CD56bright","HSPE1"
"VAMP27",8.38271671165256e-14,0.206539930127604,0.708,0.609,1.73765334715846e-09,"NK_CD56bright","VAMP2"
"HMGN37",1.04573266356152e-13,0.207051069210037,0.56,0.454,2.16769923829667e-09,"NK_CD56bright","HMGN3"
"YTHDC1",1.21866929187813e-13,0.210908847511806,0.619,0.528,2.52617957513417e-09,"NK_CD56bright","YTHDC1"
"HMGN110",2.56361926091923e-13,0.210946988927722,0.806,0.705,5.31412636595948e-09,"NK_CD56bright","HMGN1"
"GOLGB12",3.27390674335462e-13,0.286578209121037,0.551,0.443,6.78648128829979e-09,"NK_CD56bright","GOLGB1"
"UCP29",4.45272134536871e-13,0.230585810911554,0.725,0.647,9.23004607681481e-09,"NK_CD56bright","UCP2"
"TAOK36",5.37491165354209e-13,0.209878160298187,0.674,0.579,1.11416543666274e-08,"NK_CD56bright","TAOK3"
"DYNC1H11",1.20897604173709e-12,0.226386515734133,0.544,0.454,2.50608643691681e-08,"NK_CD56bright","DYNC1H1"
"HNRNPDL9",4.92605667224349e-12,0.200427788878395,0.881,0.857,1.02112228758935e-07,"NK_CD56bright","HNRNPDL"
"TMED104",5.13639185751236e-12,0.221945875466616,0.53,0.438,1.06472266814374e-07,"NK_CD56bright","TMED10"
"AKAP94",9.35781424873939e-12,0.248810848170737,0.713,0.633,1.93978131562119e-07,"NK_CD56bright","AKAP9"
"ATRX7",2.60247319993034e-11,0.200458940960674,0.779,0.723,5.3946666961356e-07,"NK_CD56bright","ATRX"
"MT-ND66",3.39126394789595e-11,0.22172170643858,0.624,0.56,7.02975103759352e-07,"NK_CD56bright","MT-ND6"
"KIAA15518",3.97748011323576e-11,0.202169863760902,0.738,0.646,8.2449185267264e-07,"NK_CD56bright","KIAA1551"
"BDP19",1.18191293617052e-10,0.200773068146376,0.54,0.457,2.44998732538788e-06,"NK_CD56bright","BDP1"
"PHF20",3.35424606088163e-10,0.205992963432941,0.525,0.447,6.95301665960153e-06,"NK_CD56bright","PHF20"
"JUND4",6.58260633204628e-10,0.214738418385175,0.953,0.938,1.36450846656987e-05,"NK_CD56bright","JUND"
"MKI672",0,3.43004013779585,0.972,0.015,0,"CD4 Proliferating","MKI67"
"TOP2A2",0,3.28522507518761,0.917,0.015,0,"CD4 Proliferating","TOP2A"
"CENPF2",0,2.93956978832048,0.87,0.02,0,"CD4 Proliferating","CENPF"
"PCLAF2",0,2.85526703881627,0.954,0.016,0,"CD4 Proliferating","PCLAF"
"TYMS2",0,2.7027381709168,0.963,0.01,0,"CD4 Proliferating","TYMS"
"NUSAP12",0,2.60947838695115,0.889,0.028,0,"CD4 Proliferating","NUSAP1"
"ASPM",0,2.60402294659656,0.759,0.008,0,"CD4 Proliferating","ASPM"
"PTTG11",0,2.36508821421251,0.898,0.051,0,"CD4 Proliferating","PTTG1"
"TPX21",0,2.18405540118365,0.833,0.009,0,"CD4 Proliferating","TPX2"
"RRM22",0,2.15390276977206,0.824,0.009,0,"CD4 Proliferating","RRM2"
"UBE2C",0,1.95957677668304,0.574,0.004,0,"CD4 Proliferating","UBE2C"
"BIRC51",0,1.9458078050745,0.88,0.007,0,"CD4 Proliferating","BIRC5"
"HMMR",0,1.87945817049632,0.731,0.006,0,"CD4 Proliferating","HMMR"
"TK12",0,1.83764676120597,0.843,0.01,0,"CD4 Proliferating","TK1"
"CENPE",0,1.81302250996289,0.731,0.02,0,"CD4 Proliferating","CENPE"
"DLGAP5",0,1.80677198975506,0.676,0.004,0,"CD4 Proliferating","DLGAP5"
"CLSPN2",0,1.71212683627405,0.796,0.013,0,"CD4 Proliferating","CLSPN"
"CDKN3",0,1.66583877653039,0.704,0.01,0,"CD4 Proliferating","CDKN3"
"CDK1",0,1.53691293374422,0.731,0.006,0,"CD4 Proliferating","CDK1"
"CCNB2",0,1.51883234143271,0.713,0.004,0,"CD4 Proliferating","CCNB2"
"CENPM2",0,1.51344084033282,0.898,0.024,0,"CD4 Proliferating","CENPM"
"MCM42",0,1.50910392481639,0.75,0.033,0,"CD4 Proliferating","MCM4"
"KNL11",0,1.4901438807486,0.676,0.014,0,"CD4 Proliferating","KNL1"
